method,ranker,dataset,category,target_idx,L,r_before,r_after,score_orig,score_adv,nrg,success@0.1,promote@0.1,success@0.2,promote@0.2
clean,bge-reranker-v2-m3,ragroll,computer monitor,2,8,5,5,0.1752312183380127,0.17523114383220673,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,computer monitor,3,8,8,8,0.07465162128210068,0.07465186715126038,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,computer monitor,4,8,3,3,0.2028570920228958,0.2028573602437973,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,computer monitor,5,8,1,1,0.3100648820400238,0.31006431579589844,0.0,1,0,1,0
clean,bge-reranker-v2-m3,ragroll,computer monitor,6,8,4,4,0.2008274644613266,0.20082733035087585,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,computer monitor,7,8,7,7,0.09818970412015915,0.09818970412015915,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,computer monitor,8,8,2,2,0.2664932906627655,0.26649320125579834,0.0,0,0,1,0
clean,bge-reranker-v2-m3,ragroll,computer power supply,1,8,6,6,0.06713348627090454,0.06713349372148514,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,computer power supply,2,8,1,1,0.13139578700065613,0.131395623087883,0.0,1,0,1,0
clean,bge-reranker-v2-m3,ragroll,computer power supply,3,8,3,3,0.10272727906703949,0.10272706300020218,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,computer power supply,4,8,7,7,0.019138934090733528,0.01913897506892681,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,computer power supply,5,8,5,5,0.07798606157302856,0.07798591256141663,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,computer power supply,6,8,2,2,0.1304558664560318,0.13045555353164673,0.0,0,0,1,0
clean,bge-reranker-v2-m3,ragroll,computer power supply,7,8,8,8,0.016284365206956863,0.01628401316702366,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,computer power supply,8,8,4,4,0.09553858637809753,0.09553837031126022,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,cordless drill,1,8,3,3,0.6072218418121338,0.6072220206260681,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,cordless drill,2,8,1,1,0.8405339121818542,0.8405336141586304,0.0,1,0,1,0
clean,bge-reranker-v2-m3,ragroll,cordless drill,3,8,5,5,0.06581749022006989,0.06581749022006989,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,cordless drill,4,8,7,7,0.04770831763744354,0.04770831763744354,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,cordless drill,5,8,8,8,0.00126170483417809,0.0012617030879482627,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,cordless drill,6,8,6,6,0.05231105908751488,0.05231081694364548,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,cordless drill,7,8,4,4,0.25503668189048767,0.25503668189048767,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,cordless drill,8,8,2,2,0.6231250762939453,0.6231248378753662,0.0,0,0,1,0
clean,bge-reranker-v2-m3,ragroll,curling iron,1,8,4,4,0.03295377641916275,0.032953839749097824,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,curling iron,2,8,7,7,0.002235845662653446,0.0022358426358550787,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,curling iron,3,8,8,8,3.4730732295429334e-05,3.4730768675217405e-05,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,curling iron,4,8,6,6,0.0037164504174143076,0.0037164415698498487,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,curling iron,5,8,1,1,0.6766359210014343,0.6766352653503418,0.0,1,0,1,0
clean,bge-reranker-v2-m3,ragroll,curling iron,6,8,2,2,0.6170825362205505,0.6170823574066162,0.0,0,0,1,0
clean,bge-reranker-v2-m3,ragroll,curling iron,7,8,5,5,0.008693498559296131,0.008693515323102474,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,curling iron,8,8,3,3,0.566990315914154,0.5669901967048645,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,dishwasher,1,8,4,4,0.23932524025440216,0.23932518064975739,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,dishwasher,2,8,2,2,0.29235780239105225,0.29235661029815674,0.0,0,0,1,0
clean,bge-reranker-v2-m3,ragroll,dishwasher,3,8,6,6,0.16807040572166443,0.16807040572166443,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,dishwasher,4,8,8,8,0.11328044533729553,0.11328037083148956,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,dishwasher,5,8,5,5,0.18535833060741425,0.18535833060741425,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,dishwasher,6,8,1,1,0.3185565173625946,0.31855612993240356,0.0,1,0,1,0
clean,bge-reranker-v2-m3,ragroll,dishwasher,7,8,7,7,0.15483133494853973,0.15483105182647705,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,dishwasher,8,8,3,3,0.29055362939834595,0.2905539572238922,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,electric sander,1,8,7,7,0.006968447007238865,0.006968436762690544,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,electric sander,2,8,4,4,0.05370932072401047,0.05370944365859032,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,electric sander,3,8,5,5,0.012573434971272945,0.012573471292853355,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,electric sander,4,8,6,6,0.011262908577919006,0.011262950487434864,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,electric sander,5,8,1,1,0.15972937643527985,0.15972915291786194,0.0,1,0,1,0
clean,bge-reranker-v2-m3,ragroll,electric sander,6,8,2,2,0.14548173546791077,0.14548125863075256,0.0,0,0,1,0
clean,bge-reranker-v2-m3,ragroll,electric sander,7,8,3,3,0.10213275998830795,0.10213261842727661,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,electric sander,8,8,8,8,0.006563182920217514,0.00656319223344326,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,electric toothbrush,1,8,2,2,0.168996199965477,0.16899600625038147,0.0,0,0,1,0
clean,bge-reranker-v2-m3,ragroll,electric toothbrush,2,8,3,3,0.15376164019107819,0.15376178920269012,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,electric toothbrush,3,8,6,6,0.03113814815878868,0.031137965619564056,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,electric toothbrush,4,8,8,8,0.0075143491849303246,0.007514382246881723,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,electric toothbrush,5,8,1,1,0.8791486024856567,0.8791486620903015,0.0,1,0,1,0
clean,bge-reranker-v2-m3,ragroll,electric toothbrush,6,8,7,7,0.030182523652911186,0.030182579532265663,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,electric toothbrush,7,8,5,5,0.12855243682861328,0.12855234742164612,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,electric toothbrush,8,8,4,4,0.12859787046909332,0.12859772145748138,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,eyeshadow,1,8,5,5,0.010521011427044868,0.010521011427044868,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,eyeshadow,2,8,2,2,0.08047308772802353,0.0804729089140892,0.0,0,0,1,0
clean,bge-reranker-v2-m3,ragroll,eyeshadow,3,8,4,4,0.01451036985963583,0.01451028697192669,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,eyeshadow,4,8,7,7,0.002228404628112912,0.0022284130100160837,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,eyeshadow,5,8,6,6,0.006040317937731743,0.006040323991328478,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,eyeshadow,6,8,3,3,0.031656719744205475,0.031656693667173386,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,eyeshadow,7,8,8,8,0.00207329960539937,0.002073295647278428,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,eyeshadow,8,8,1,1,0.28284627199172974,0.28284621238708496,0.0,1,0,1,0
clean,bge-reranker-v2-m3,ragroll,fascia gun,1,8,6,6,4.728741987491958e-05,4.728755448013544e-05,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,fascia gun,2,8,1,1,0.0016662824200466275,0.001666293595917523,0.0,1,0,1,0
clean,bge-reranker-v2-m3,ragroll,fascia gun,3,8,2,2,0.0010936043690890074,0.0010936028556898236,0.0,0,0,1,0
clean,bge-reranker-v2-m3,ragroll,fascia gun,4,8,8,8,2.7817759473691694e-05,2.781765397230629e-05,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,fascia gun,5,8,5,5,0.00015879012062214315,0.000158789218403399,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,fascia gun,6,8,3,3,0.0007656971574760973,0.0007656946545466781,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,fascia gun,7,8,7,7,3.1101204513106495e-05,3.110117540927604e-05,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,fascia gun,8,8,4,4,0.00028668128652498126,0.0002866799186449498,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,hair dryer,1,8,5,5,0.2951555848121643,0.2951551377773285,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,hair dryer,2,8,3,3,0.4460846781730652,0.4460848569869995,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,hair dryer,3,8,1,1,0.5079381465911865,0.507938027381897,0.0,1,0,1,0
clean,bge-reranker-v2-m3,ragroll,hair dryer,4,8,7,7,0.13803544640541077,0.13803550601005554,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,hair dryer,5,8,4,4,0.3216647207736969,0.3216642141342163,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,hair dryer,6,8,6,6,0.16242271661758423,0.1624227613210678,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,hair dryer,7,8,8,8,0.0862625315785408,0.08626275509595871,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,hair dryer,8,8,2,2,0.5035417675971985,0.5035416483879089,0.0,0,0,1,0
clean,bge-reranker-v2-m3,ragroll,hair straightener,1,8,7,7,0.0024194633588194847,0.0024194668512791395,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,hair straightener,2,8,8,8,0.0015562360640615225,0.0015562360640615225,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,hair straightener,3,8,5,5,0.005067022517323494,0.00506701972335577,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,hair straightener,4,8,4,4,0.007342235185205936,0.007342217955738306,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,hair straightener,5,8,6,6,0.004088908433914185,0.004088918212801218,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,hair straightener,6,8,3,3,0.0075029111467301846,0.007502865511924028,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,hair straightener,7,8,1,1,0.044748399406671524,0.04474857449531555,0.0,1,0,1,0
clean,bge-reranker-v2-m3,ragroll,hair straightener,8,8,2,2,0.040729060769081116,0.040728986263275146,0.0,0,0,1,0
clean,bge-reranker-v2-m3,ragroll,hammock,1,8,8,8,0.07776027172803879,0.07776033878326416,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,hammock,2,8,2,2,0.19397278130054474,0.1939733475446701,0.0,0,0,1,0
clean,bge-reranker-v2-m3,ragroll,hammock,3,8,1,1,0.21021544933319092,0.2102160006761551,0.0,1,0,1,0
clean,bge-reranker-v2-m3,ragroll,hammock,4,8,3,3,0.14747555553913116,0.1474757194519043,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,hammock,5,8,6,6,0.08626891672611237,0.086268849670887,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,hammock,6,8,4,4,0.12570224702358246,0.12570230662822723,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,hammock,7,8,5,5,0.09524708986282349,0.09524693340063095,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,hammock,8,8,7,7,0.08282921463251114,0.08282916992902756,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,hedge trimmer,1,8,8,8,0.640360414981842,0.6403599977493286,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,hedge trimmer,2,8,7,7,0.6893545389175415,0.6893545985221863,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,hedge trimmer,3,8,6,6,0.6904004216194153,0.6904004216194153,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,hedge trimmer,4,8,1,1,0.9004703760147095,0.9004703760147095,0.0,1,0,1,0
clean,bge-reranker-v2-m3,ragroll,hedge trimmer,5,8,5,5,0.7644228339195251,0.7644224166870117,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,hedge trimmer,6,8,2,2,0.8514963984489441,0.851496696472168,0.0,0,0,1,0
clean,bge-reranker-v2-m3,ragroll,hedge trimmer,7,8,3,3,0.8463932871818542,0.8463930487632751,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,hedge trimmer,8,8,4,4,0.8364076018333435,0.8364075422286987,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,laptop,1,8,7,7,0.11260524392127991,0.11260543763637543,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,laptop,2,8,5,5,0.1302458494901657,0.13024573028087616,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,laptop,3,8,8,8,0.1051073968410492,0.10510755330324173,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,laptop,4,8,3,3,0.23287832736968994,0.23287825286388397,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,laptop,5,8,4,4,0.14065298438072205,0.14065246284008026,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,laptop,6,8,2,2,0.24988460540771484,0.24988514184951782,0.0,0,0,1,0
clean,bge-reranker-v2-m3,ragroll,laptop,7,8,1,1,0.30658096075057983,0.3065803349018097,0.0,1,0,1,0
clean,bge-reranker-v2-m3,ragroll,laptop,8,8,6,6,0.12029476463794708,0.12029468268156052,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,laser measure,1,8,6,6,0.34329482913017273,0.343295156955719,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,laser measure,2,8,4,4,0.38847607374191284,0.38847616314888,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,laser measure,3,8,3,3,0.4190327525138855,0.41903257369995117,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,laser measure,4,8,1,1,0.700370192527771,0.7003704905509949,0.0,1,0,1,0
clean,bge-reranker-v2-m3,ragroll,laser measure,5,8,5,5,0.36771708726882935,0.3677169680595398,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,laser measure,6,8,8,8,0.011875957250595093,0.011876001954078674,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,laser measure,7,8,2,2,0.6256061792373657,0.6256058216094971,0.0,0,0,1,0
clean,bge-reranker-v2-m3,ragroll,laser measure,8,8,7,7,0.036497507244348526,0.036497510969638824,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,lawn mower,1,8,2,2,0.19922634959220886,0.19922657310962677,0.0,0,0,1,0
clean,bge-reranker-v2-m3,ragroll,lawn mower,2,8,5,5,0.09681260585784912,0.0968126580119133,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,lawn mower,3,8,6,6,0.02938736602663994,0.02938733994960785,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,lawn mower,4,8,3,3,0.19087925553321838,0.19087938964366913,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,lawn mower,5,8,1,1,0.3268629014492035,0.32686373591423035,0.0,1,0,1,0
clean,bge-reranker-v2-m3,ragroll,lawn mower,6,8,8,8,0.003252090886235237,0.0032520864624530077,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,lawn mower,7,8,7,7,0.02584550715982914,0.025845494121313095,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,lawn mower,8,8,4,4,0.13056543469429016,0.1305653154850006,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,leaf blower,1,8,5,5,0.003483998589217663,0.003483997192233801,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,leaf blower,2,8,1,1,0.28894510865211487,0.28894442319869995,0.0,1,0,1,0
clean,bge-reranker-v2-m3,ragroll,leaf blower,3,8,8,8,0.00021339132217690349,0.00021339155500754714,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,leaf blower,4,8,2,2,0.011899908073246479,0.011899969540536404,0.0,0,0,1,0
clean,bge-reranker-v2-m3,ragroll,leaf blower,5,8,6,6,0.0033714636228978634,0.0033714843448251486,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,leaf blower,6,8,3,3,0.006833669729530811,0.006833666004240513,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,leaf blower,7,8,7,7,0.002913676667958498,0.002913676667958498,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,leaf blower,8,8,4,4,0.005099721252918243,0.005099697038531303,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,lipstick,1,8,4,4,0.09896388649940491,0.09896401315927505,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,lipstick,2,8,7,7,0.03401881828904152,0.034018926322460175,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,lipstick,3,8,6,6,0.034666407853364944,0.03466644883155823,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,lipstick,4,8,1,1,0.15439987182617188,0.154400035738945,0.0,1,0,1,0
clean,bge-reranker-v2-m3,ragroll,lipstick,5,8,3,3,0.10203522443771362,0.10203526169061661,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,lipstick,6,8,2,2,0.1399107128381729,0.1399107426404953,0.0,0,0,1,0
clean,bge-reranker-v2-m3,ragroll,lipstick,7,8,5,5,0.08343003690242767,0.08342995494604111,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,lipstick,8,8,8,8,0.007634515408426523,0.007634543813765049,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,microwave oven,1,8,2,2,0.18665090203285217,0.1866503655910492,0.0,0,0,1,0
clean,bge-reranker-v2-m3,ragroll,microwave oven,2,8,3,3,0.08756459504365921,0.08756445348262787,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,microwave oven,3,8,7,7,0.03262743726372719,0.03262736275792122,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,microwave oven,4,8,1,1,0.1986839473247528,0.19868381321430206,0.0,1,0,1,0
clean,bge-reranker-v2-m3,ragroll,microwave oven,5,8,8,8,0.030832620337605476,0.030832620337605476,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,microwave oven,6,8,5,5,0.04988992214202881,0.04988999292254448,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,microwave oven,7,8,6,6,0.042849890887737274,0.042849861085414886,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,microwave oven,8,8,4,4,0.05286339670419693,0.05286351218819618,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,network attached storage,1,8,6,6,0.003611734602600336,0.0036117418203502893,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,network attached storage,2,8,5,5,0.0036388435401022434,0.0036388435401022434,0.0,0,0,0,0
clean,bge-reranker-v2-m3,ragroll,network attached storage,3,8,2,2,0.09197486191987991,0.0919749066233635,0.0,0,0,1,0
clean,bge-reranker-v2-m3,ragroll,network attached storage,4,8,1,1,0.123253233730793,0.12325353175401688,0.0,1,0,1,0
clean,bge-reranker-v2-m3,ragroll,network attached storage,5,8,7,7,0.0018634514417499304,0.0018634533043950796,0.0,0,0,0,0
